Fecha,Perfil,Tipo de Alimento,Cantidad Consumida (gr),Gasto Diario ($)
2024-01-01,Perro Max,Brit Care,485,70.35964386088092
2024-01-01,Gato Luna,Brit Care,121,13.293767658784141
2024-01-01,Perro Coco,Brit Care,171,11.217506297749065
2024-01-01,Gato Simba,Brit Care,137,11.421807972604599
2024-01-02,Perro Max,Brit Care,199,11.072590422639296
2024-01-02,Gato Luna,Beneful,343,17.17671166834679
2024-01-02,Perro Coco,Pedigri,210,16.88908710215029
2024-01-02,Gato Simba,Beneful,302,28.144739562991894
2024-01-03,Perro Max,Pedigri,108,9.71849849452476
2024-01-03,Gato Luna,Brit Care,239,14.115493785334417
2024-01-03,Perro Coco,Beneful,100,8.824619912671627
2024-01-03,Gato Simba,Pedigri,180,24.478927321253767
2024-01-04,Perro Max,Brit Care,70,6.6534947637868
2024-01-04,Gato Luna,Beneful,437,63.02421672342806
2024-01-04,Perro Coco,Beneful,291,25.765620223911558
2024-01-04,Gato Simba,Beneful,102,7.455117021345919
2024-01-05,Perro Max,Brit Care,493,30.6664849778476
2024-01-05,Gato Luna,Pedigri,313,16.726360710906338
2024-01-05,Perro Coco,Beneful,130,9.86413976080022
2024-01-05,Gato Simba,Beneful,439,31.078638999913487
2024-01-06,Perro Max,Beneful,240,32.21483459027996
2024-01-06,Gato Luna,Beneful,251,35.01016649573398
2024-01-06,Perro Coco,Beneful,400,56.87496940092467
2024-01-06,Gato Simba,Beneful,264,26.950024464681743
2024-01-07,Perro Max,Beneful,345,46.38641777939622
2024-01-07,Gato Luna,Pedigri,387,40.23608552345739
2024-01-07,Perro Coco,Beneful,266,20.772857957684327
2024-01-07,Gato Simba,Pedigri,90,7.166461551336741
2024-01-08,Perro Max,Pedigri,114,5.878255036849611
2024-01-08,Gato Luna,Pedigri,393,35.168843664299885
2024-01-08,Perro Coco,Brit Care,188,13.138237196869536
2024-01-08,Gato Simba,Brit Care,468,59.49545222490226
2024-01-09,Perro Max,Pedigri,280,32.230156714054445
2024-01-09,Gato Luna,Brit Care,250,28.08245317068895
2024-01-09,Perro Coco,Beneful,82,4.6211784723453935
2024-01-09,Gato Simba,Brit Care,111,9.159534874496893
2024-01-10,Perro Max,Brit Care,221,25.140020116950208
2024-01-10,Gato Luna,Brit Care,84,8.166605371360374
2024-01-10,Perro Coco,Pedigri,480,58.23574978670376
2024-01-10,Gato Simba,Pedigri,54,5.7308968668752795
2024-01-11,Perro Max,Brit Care,447,44.422663157488266
2024-01-11,Gato Luna,Pedigri,256,23.74505006997887
2024-01-11,Perro Coco,Beneful,429,26.07854221801276
2024-01-11,Gato Simba,Brit Care,401,45.57005749167759
2024-01-12,Perro Max,Pedigri,145,17.334983253178848
2024-01-12,Gato Luna,Pedigri,456,50.36143249506846
2024-01-12,Perro Coco,Brit Care,220,15.467346944164927
2024-01-12,Gato Simba,Pedigri,209,22.9662882496104
2024-01-13,Perro Max,Brit Care,135,18.636315826705975
2024-01-13,Gato Luna,Beneful,94,7.4789566468745114
2024-01-13,Perro Coco,Pedigri,183,17.504582639837256
2024-01-13,Gato Simba,Beneful,495,51.44744097482471
2024-01-14,Perro Max,Beneful,397,33.995024171655906
2024-01-14,Gato Luna,Beneful,274,21.156423633139006
2024-01-14,Perro Coco,Brit Care,495,24.775758661268135
2024-01-14,Gato Simba,Pedigri,282,22.694831480056422
2024-01-15,Perro Max,Beneful,460,42.200906144843835
2024-01-15,Gato Luna,Pedigri,274,16.98431106494291
2024-01-15,Perro Coco,Brit Care,364,29.964586725555492
2024-01-15,Gato Simba,Pedigri,229,19.777117894485833
2024-01-16,Perro Max,Pedigri,491,71.80616218165767
2024-01-16,Gato Luna,Beneful,344,34.30534860269806
2024-01-16,Perro Coco,Pedigri,150,11.772607415662014
2024-01-16,Gato Simba,Pedigri,236,26.185718281925567
2024-01-17,Perro Max,Beneful,269,14.834778408624715
2024-01-17,Gato Luna,Pedigri,273,38.445658686889644
2024-01-17,Perro Coco,Brit Care,175,11.285660261596405
2024-01-17,Gato Simba,Beneful,209,22.005465561590754
2024-01-18,Perro Max,Brit Care,373,21.66582907221028
2024-01-18,Gato Luna,Brit Care,450,55.26973568753368
2024-01-18,Perro Coco,Pedigri,421,62.45211423167289
2024-01-18,Gato Simba,Beneful,444,58.44957517094064
2024-01-19,Perro Max,Pedigri,250,20.519501624293397
2024-01-19,Gato Luna,Beneful,398,54.06268043158604
2024-01-19,Perro Coco,Brit Care,469,24.227969176716453
2024-01-19,Gato Simba,Brit Care,196,16.633853350917896
2024-01-20,Perro Max,Brit Care,357,51.42668054227885
2024-01-20,Gato Luna,Brit Care,387,51.76938109861359
2024-01-20,Perro Coco,Brit Care,490,30.060202540788865
2024-01-20,Gato Simba,Brit Care,464,63.90854599687751
2024-01-21,Perro Max,Brit Care,312,36.19150223626639
2024-01-21,Gato Luna,Beneful,161,16.988733066751344
2024-01-21,Perro Coco,Pedigri,51,7.630893868765414
2024-01-21,Gato Simba,Beneful,189,20.001746273174145
2024-01-22,Perro Max,Brit Care,58,4.517453845034654
2024-01-22,Gato Luna,Brit Care,353,47.53713832101219
2024-01-22,Perro Coco,Beneful,169,23.45331466906022
2024-01-22,Gato Simba,Brit Care,162,10.718385168332743
2024-01-23,Perro Max,Beneful,153,16.928364612791725
2024-01-23,Gato Luna,Brit Care,161,9.683691840143117
2024-01-23,Perro Coco,Brit Care,202,10.202243993693617
2024-01-23,Gato Simba,Beneful,387,38.14325226378697
2024-01-24,Perro Max,Brit Care,257,38.40755678909809
2024-01-24,Gato Luna,Pedigri,117,8.62581432371256
2024-01-24,Perro Coco,Pedigri,353,44.00114660066625
2024-01-24,Gato Simba,Brit Care,244,28.245754572128376
2024-01-25,Perro Max,Pedigri,225,13.357682276132081
2024-01-25,Gato Luna,Brit Care,424,31.81958110887677
2024-01-25,Perro Coco,Beneful,87,12.866367866992578
2024-01-25,Gato Simba,Brit Care,487,68.47701096189357
2024-01-26,Perro Max,Brit Care,275,23.377156211603584
2024-01-26,Gato Luna,Pedigri,333,38.92517118678122
2024-01-26,Perro Coco,Pedigri,366,36.57047770378193
2024-01-26,Gato Simba,Brit Care,241,27.605882331362743
2024-01-27,Perro Max,Pedigri,221,31.834134714199408
2024-01-27,Gato Luna,Pedigri,95,13.44121170709426
2024-01-27,Perro Coco,Brit Care,429,22.113088849088413
2024-01-27,Gato Simba,Pedigri,351,51.4795841484328
2024-01-28,Perro Max,Brit Care,237,32.06632409457643
2024-01-28,Gato Luna,Brit Care,302,26.729951403778145
2024-01-28,Perro Coco,Brit Care,210,17.15536210828183
2024-01-28,Gato Simba,Beneful,330,29.52481840471258
2024-01-29,Perro Max,Beneful,107,15.3011801324759
2024-01-29,Gato Luna,Beneful,329,23.323425809545352
2024-01-29,Perro Coco,Brit Care,391,33.573089148680005
2024-01-29,Gato Simba,Brit Care,204,16.22392800374635
2024-01-30,Perro Max,Beneful,322,43.42716739657452
2024-01-30,Gato Luna,Pedigri,348,42.070102692472126
2024-01-30,Perro Coco,Brit Care,219,28.675009304979444
2024-01-30,Gato Simba,Brit Care,355,48.53106730959368
2024-01-31,Perro Max,Pedigri,365,36.91399755842423
2024-01-31,Gato Luna,Pedigri,85,11.035509021217589
2024-01-31,Perro Coco,Pedigri,313,37.62156325816611
2024-01-31,Gato Simba,Beneful,420,35.195796587764505
2024-02-01,Perro Max,Beneful,371,34.817389963971024
2024-02-01,Gato Luna,Brit Care,391,32.38076929826202
2024-02-01,Perro Coco,Beneful,112,16.59661794907795
2024-02-01,Gato Simba,Beneful,363,49.38268764471381
2024-02-02,Perro Max,Pedigri,229,12.339315418433792
2024-02-02,Gato Luna,Brit Care,103,10.68194900012555
2024-02-02,Perro Coco,Pedigri,313,39.75079821198651
2024-02-02,Gato Simba,Pedigri,152,8.897281467905273
2024-02-03,Perro Max,Pedigri,421,38.36799940288616
2024-02-03,Gato Luna,Brit Care,360,22.980711327040847
2024-02-03,Perro Coco,Pedigri,419,42.582984593820086
2024-02-03,Gato Simba,Beneful,196,25.385649417466595
2024-02-04,Perro Max,Brit Care,324,30.422674030862606
2024-02-04,Gato Luna,Brit Care,395,20.751354364910572
2024-02-04,Perro Coco,Pedigri,367,49.03047042279795
2024-02-04,Gato Simba,Pedigri,445,40.44840602643501
2024-02-05,Perro Max,Beneful,171,11.225073429675572
2024-02-05,Gato Luna,Beneful,145,15.213786638238746
2024-02-05,Perro Coco,Pedigri,286,22.306109452653963
2024-02-05,Gato Simba,Pedigri,241,25.409932665524757
2024-02-06,Perro Max,Beneful,398,36.600082484626036
2024-02-06,Gato Luna,Beneful,193,12.711876439500077
2024-02-06,Perro Coco,Beneful,234,19.699984201163797
2024-02-06,Gato Simba,Pedigri,96,5.190996502262114
2024-02-07,Perro Max,Beneful,495,59.581064039311165
2024-02-07,Gato Luna,Beneful,481,62.862514196142484
2024-02-07,Perro Coco,Pedigri,303,28.295704971910585
2024-02-07,Gato Simba,Brit Care,299,33.36391793176127
2024-02-08,Perro Max,Pedigri,149,8.125029745603465
2024-02-08,Gato Luna,Brit Care,443,49.87559426614067
2024-02-08,Perro Coco,Beneful,145,19.669102697230674
2024-02-08,Gato Simba,Pedigri,53,5.9140111712665435
2024-02-09,Perro Max,Brit Care,307,16.16389723362779
2024-02-09,Gato Luna,Brit Care,389,41.83594551937169
2024-02-09,Perro Coco,Beneful,212,24.23771023097789
2024-02-09,Gato Simba,Pedigri,494,51.653469392207185
2024-02-10,Perro Max,Pedigri,317,28.089453618284544
2024-02-10,Gato Luna,Pedigri,217,30.496108930446578
2024-02-10,Perro Coco,Pedigri,446,31.870674738993486
2024-02-10,Gato Simba,Beneful,435,23.444896255495166
2024-02-11,Perro Max,Beneful,84,7.027055405065302
2024-02-11,Gato Luna,Beneful,313,27.712914236222186
2024-02-11,Perro Coco,Beneful,139,11.684681515552937
2024-02-11,Gato Simba,Brit Care,154,15.338976796118454
2024-02-12,Perro Max,Beneful,163,18.401768402512108
2024-02-12,Gato Luna,Pedigri,425,52.49051936166514
2024-02-12,Perro Coco,Pedigri,298,31.229562120793
2024-02-12,Gato Simba,Pedigri,457,59.72234758451397
2024-02-13,Perro Max,Pedigri,148,13.506741618289112
2024-02-13,Gato Luna,Beneful,145,12.191651333668759
2024-02-13,Perro Coco,Beneful,273,37.08466812531422
2024-02-13,Gato Simba,Pedigri,232,29.020208772762743
2024-02-14,Perro Max,Pedigri,404,24.366204300971678
2024-02-14,Gato Luna,Pedigri,418,42.019549168320424
2024-02-14,Perro Coco,Pedigri,391,31.187535323314055
2024-02-14,Gato Simba,Brit Care,226,12.508767706490538
2024-02-15,Perro Max,Pedigri,282,37.98943666349563
2024-02-15,Gato Luna,Pedigri,333,48.287063502791796
2024-02-15,Perro Coco,Brit Care,416,24.264631505722804
2024-02-15,Gato Simba,Pedigri,148,16.31612570333656
2024-02-16,Perro Max,Brit Care,102,13.174106246003653
2024-02-16,Gato Luna,Pedigri,88,5.202613706828475
2024-02-16,Perro Coco,Beneful,235,13.102630860391141
2024-02-16,Gato Simba,Brit Care,171,16.100171573484747
2024-02-17,Perro Max,Brit Care,270,22.974705338906123
2024-02-17,Gato Luna,Beneful,288,18.518160443121673
2024-02-17,Perro Coco,Beneful,491,54.904506908828424
2024-02-17,Gato Simba,Pedigri,279,16.29657989060843
2024-02-18,Perro Max,Pedigri,217,12.428957238103001
2024-02-18,Gato Luna,Beneful,332,40.04724194159567
2024-02-18,Perro Coco,Pedigri,78,4.561734169864497
2024-02-18,Gato Simba,Brit Care,185,16.174009721488225
2024-02-19,Perro Max,Pedigri,391,51.33046307976836
2024-02-19,Gato Luna,Brit Care,376,55.87363999973995
2024-02-19,Perro Coco,Beneful,301,17.56337157262993
2024-02-19,Gato Simba,Pedigri,413,43.71209551408875
2024-02-20,Perro Max,Brit Care,251,35.29949506587787
2024-02-20,Gato Luna,Brit Care,175,17.370939325090035
2024-02-20,Perro Coco,Pedigri,291,28.188024682029074
2024-02-20,Gato Simba,Beneful,197,12.190712950481018
2024-02-21,Perro Max,Pedigri,432,49.64588505141394
2024-02-21,Gato Luna,Pedigri,436,47.23487815823616
2024-02-21,Perro Coco,Beneful,240,23.465157381125465
2024-02-21,Gato Simba,Pedigri,361,37.12416137882925
2024-02-22,Perro Max,Pedigri,183,23.82859925718923
2024-02-22,Gato Luna,Pedigri,209,22.070505307630018
2024-02-22,Perro Coco,Brit Care,198,10.75933550930382
2024-02-22,Gato Simba,Pedigri,252,35.76171602502222
2024-02-23,Perro Max,Brit Care,196,28.79832969813434
2024-02-23,Gato Luna,Beneful,96,10.842226926098519
2024-02-23,Perro Coco,Beneful,192,18.327188443541246
2024-02-23,Gato Simba,Pedigri,103,11.168437412807933
2024-02-24,Perro Max,Brit Care,490,69.3474627417862
2024-02-24,Gato Luna,Beneful,273,15.229684408785413
2024-02-24,Perro Coco,Beneful,457,51.190059719530225
2024-02-24,Gato Simba,Beneful,397,45.52987995824833
2024-02-25,Perro Max,Beneful,365,39.55344808255683
2024-02-25,Gato Luna,Pedigri,90,6.839548765688364
2024-02-25,Perro Coco,Brit Care,496,51.39037977066837
2024-02-25,Gato Simba,Pedigri,261,28.78260712080809
2024-02-26,Perro Max,Pedigri,446,62.92735242842538
2024-02-26,Gato Luna,Pedigri,439,63.646216193515464
2024-02-26,Perro Coco,Pedigri,352,49.95501462461169
2024-02-26,Gato Simba,Beneful,361,49.69747964192111
2024-02-27,Perro Max,Brit Care,414,27.52413841107184
2024-02-27,Gato Luna,Pedigri,423,55.436405892071534
2024-02-27,Perro Coco,Brit Care,226,19.814300720597462
2024-02-27,Gato Simba,Beneful,112,10.001481828563222
2024-02-28,Perro Max,Brit Care,332,35.49350477630282
2024-02-28,Gato Luna,Pedigri,147,7.891281454249074
2024-02-28,Perro Coco,Brit Care,434,22.293363273491682
2024-02-28,Gato Simba,Brit Care,55,6.554429184429016
2024-02-29,Perro Max,Pedigri,400,49.99642997879887
2024-02-29,Gato Luna,Brit Care,486,52.73826727101794
2024-02-29,Perro Coco,Pedigri,214,26.901537723708557
2024-02-29,Gato Simba,Brit Care,194,14.377045747194856
2024-03-01,Perro Max,Pedigri,415,31.184861239739636
2024-03-01,Gato Luna,Pedigri,254,17.963582284804634
2024-03-01,Perro Coco,Pedigri,418,52.54256372479915
2024-03-01,Gato Simba,Beneful,397,30.516297536404704
2024-03-02,Perro Max,Brit Care,203,20.262753288911625
2024-03-02,Gato Luna,Beneful,167,22.23390388404377
2024-03-02,Perro Coco,Beneful,317,41.72942780625407
2024-03-02,Gato Simba,Pedigri,271,35.00826344962705
2024-03-03,Perro Max,Pedigri,161,15.778740068997449
2024-03-03,Gato Luna,Brit Care,256,32.88750755697433
2024-03-03,Perro Coco,Beneful,115,15.00801367647266
2024-03-03,Gato Simba,Brit Care,471,52.62312083978245
2024-03-04,Perro Max,Beneful,343,38.00741323928666
2024-03-04,Gato Luna,Beneful,335,35.33632288616456
2024-03-04,Perro Coco,Brit Care,496,60.829292819451325
2024-03-04,Gato Simba,Pedigri,215,20.444574619446243
2024-03-05,Perro Max,Brit Care,79,8.864484931800199
2024-03-05,Gato Luna,Brit Care,130,18.843768107549344
2024-03-05,Perro Coco,Beneful,233,31.270729969935935
2024-03-05,Gato Simba,Pedigri,389,37.31038091766837
2024-03-06,Perro Max,Beneful,311,30.870422723178244
2024-03-06,Gato Luna,Pedigri,175,19.8345149505427
2024-03-06,Perro Coco,Brit Care,420,43.56506350199095
2024-03-06,Gato Simba,Brit Care,232,25.166573658020365
2024-03-07,Perro Max,Brit Care,423,50.66133836738022
2024-03-07,Gato Luna,Pedigri,244,33.533349558447775
2024-03-07,Perro Coco,Brit Care,142,20.918166959635478
2024-03-07,Gato Simba,Pedigri,171,12.37781902699808
2024-03-08,Perro Max,Pedigri,54,4.563446190240889
2024-03-08,Gato Luna,Beneful,366,19.464051342357045
2024-03-08,Perro Coco,Beneful,50,5.172117518662615
2024-03-08,Gato Simba,Beneful,95,8.210563679956717
2024-03-09,Perro Max,Beneful,267,31.783541924404055
2024-03-09,Gato Luna,Pedigri,331,43.01048420388931
2024-03-09,Perro Coco,Pedigri,263,15.300262540255332
2024-03-09,Gato Simba,Beneful,156,22.165609448296284
2024-03-10,Perro Max,Pedigri,386,29.987477218482063
2024-03-10,Gato Luna,Pedigri,57,7.115080235186852
2024-03-10,Perro Coco,Pedigri,229,16.244099504410666
2024-03-10,Gato Simba,Brit Care,105,10.337491344505723
2024-03-11,Perro Max,Beneful,77,6.690635024687248
2024-03-11,Gato Luna,Beneful,414,23.2809324079654
2024-03-11,Perro Coco,Brit Care,361,22.855521122007964
2024-03-11,Gato Simba,Brit Care,160,21.511050762138062
2024-03-12,Perro Max,Brit Care,288,15.277597998727513
